word1,word2,sim
midday,noon,4.00
automobile,car,3.89
gem,jewel,4.00
boy,lad,3.62
coast,shore,3.24
journey,voyage,3.64
magician,wizard,3.38
furnace,stove,2.97
bird,crane,2.91
food,fruit,2.74
bird,cock,2.72
asylum,madhouse,3.10
brother,lad,2.17
tool,implement,2.48
brother,monk,2.02
coast,forest,2.00
car,journey,1.70
shore,woodland,1.09
monk,oracle,1.58
food,rooster,1.48
coast,hill,1.14
crane,implement,1.31
cemetery,woodland,1.36
monk,slave,1.26
forest,graveyard,1.24
lad,wizard,1.07
cord,smile,1.03
glass,magician,1.05
rooster,voyage,0.33
noon,string,0.95
