word1,word2
computer,internet
rooster,voyage
deployment,withdrawal
hotel,reservation
music,project
stock,live
money,laundering
cup,coffee
discovery,space
Arafat,terror
problem,challenge
money,cash
government,crisis
credit,information
doctor,personnel
credit,card
decoration,valor
professor,cucumber
museum,theater
peace,insurance
physics,chemistry
development,issue
country,citizen
drink,ear
architecture,century
life,lesson
Mexico,Brazil
money,wealth
gender,equality
weapon,secret
cup,liquid
stroke,hospital
planet,star
image,surface
delay,racism
cup,entity
dollar,loss
shower,flood
energy,secretary
chord,smile
brother,monk
psychology,clinic
reason,hypertension
gem,jewel
lobster,wine
Arafat,peace
cup,artifact
car,automobile
delay,news
tiger,fauna
lover,quarrel
psychology,health
tiger,zoo
psychology,discipline
cemetery,woodland
fuck,sex
tiger,animal
tool,implement
game,round
stock,market
water,seepage
oil,stock
psychology,cognition
peace,atmosphere
king,queen
student,professor
noon,string
opera,industry
boxing,round
monk,oracle
skin,eye
start,match
Mars,scientist
Japanese,American
bank,money
soap,opera
FBI,fingerprint
production,hike
movie,star
seafood,sea
money,operation
magician,wizard
day,dawn
planet,moon
stock,CD
morality,marriage
treatment,recovery
territory,kilometer
dividend,calculation
money,currency
drug,abuse
opera,performance
liquid,water
tiger,tiger
monk,slave
equipment,maker
stock,jaguar
money,deposit
liability,insurance
Arafat,Jackson
sign,recess
nature,man
investor,earning
life,death
dollar,yen
arrangement,accommodation
psychology,Freud
drink,eat
professor,doctor
planet,constellation
weather,forecast
announcement,warning
investigation,effort
prejudice,recognition
glass,magician
journey,car
theater,history
cup,food
media,trading
exhibit,memorabilia
planet,galaxy
tiger,mammal
furnace,stove
minority,peace
planet,people
governor,office
profit,loss
bed,closet
journal,association
century,year
vodka,brandy
dollar,buck
money,dollar
movie,theater
hundred,percent
observation,architecture
drink,mouth
calculation,computation
atmosphere,landscape
planet,astronomer
lad,brother
lad,wizard
lobster,food
psychology,mind
energy,laboratory
precedent,group
championship,tournament
network,hardware
ministry,culture
report,gain
psychology,psychiatry
cup,substance
family,planning
psychology,anxiety
production,crew
planet,sun
crane,implement
drink,car
forest,graveyard
concert,virtuoso
life,term
street,children
cell,phone
precedent,information
fertility,egg
cucumber,potato
type,kind
announcement,production
computer,laboratory
Wednesday,news
street,avenue
street,block
word,similarity
phone,equipment
space,world
coast,forest
money,property
money,possession
jaguar,cat
holy,sex
practice,institution
hospital,infrastructure
shore,woodland
summer,drought
victim,emergency
asylum,madhouse
consumer,energy
seafood,food
football,basketball
coast,hill
Maradona,football
television,film
volunteer,motto
football,soccer
consumer,confidence
size,prominence
game,series
listing,category
psychology,fear
bread,butter
situation,conclusion
company,stock
psychology,depression
marathon,sprint
money,withdrawal
start,year
grocery,money
tiger,organism
possibility,girl
travel,activity
food,fruit
king,rook
tiger,carnivore
morality,importance
seven,series
mile,kilometer
experience,music
OPEC,country
board,recommendation
shower,thunderstorm
direction,combination
tiger,cat
jaguar,car
closet,clothes
aluminum,metal
glass,metal
bishop,rabbi
Harvard,Yale
psychology,science
announcement,effort
street,place
competition,price
plane,car
death,inmate
computer,keyboard
territory,surface
news,report
money,cash
coast,shore
president,medal
murder,manslaughter
attempt,peace
doctor,liability
Jerusalem,Israel
FBI,investigation
currency,market
rock,jazz
love,sex
century,nation
secretary,senate
environment,ecology
arrival,hotel
alcohol,chemistry
king,cabbage
doctor,nurse
media,radio
OPEC,oil
admission,ticket
media,gain
cup,article
peace,plan
tennis,racket
seafood,lobster
game,team
record,number
drink,mother
game,defeat
month,hotel
disability,death
smart,student
impartiality,interest
summer,nature
registration,arrangement
man,woman
stock,life
food,rooster
bird,crane
psychology,doctor
chance,credibility
baseball,season
sugar,approach
stock,phone
fighting,defeating
profit,warning
train,car
focus,life
vodka,gin
telephone,communication
computer,news
dividend,payment
disaster,area
television,radio
stock,egg
space,chemistry
wood,forest
governor,interview
bird,cock
population,development
canyon,landscape
precedent,antecedent
journey,voyage
precedent,collection
situation,isolation
midday,noon
preservation,world
lawyer,evidence
energy,crisis
Jerusalem,Palestinian
boy,lad
Mars,water
tiger,jaguar
planet,space
tiger,feline
precedent,law
video,archive
cup,tableware
money,bank
smart,stupid
deployment,departure
physics,proton
baby,mother
change,attitude
luxury,car
law,lawyer
game,victory
cup,object
announcement,news
computer,software
dollar,profit
war,troops
precedent,example
precedent,cognition
cup,drink
man,governor
book,paper
benchmark,index
death,row
nature,environment
viewer,serial
line,insurance
car,flight
school,center
food,preparation
movie,popcorn
five,month
movie,critic
listing,proximity
problem,airport
book,library
football,tennis
minister,party
reason,criterion
day,summer
